"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"31","GDVI2","0.60, p < 0.0001","0.09, p = 0.0270","0.299",41.56,0
"12","NDVI","0.44, p < 0.0001","0.11, p = 0.0116","0.293",42.17,0.609999999999999
"2","GNDVI","0.42, p < 0.0001","-","0.253",44.17,2.61
"3","GDVI2","0.54, p < 0.0001","-","0.247",44.69,3.13
"21","GNDVI","0.42, p < 0.0001","0.04, p = 0.3778","0.261",45.35,3.79
"1","NDVI","0.37, p < 0.0001","-","0.224",46.87,5.31
"11","-","-","0.04, p = 0.3537","0.012",64.26,22.7
