"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"211","GNDVI","-","0.05, p = 0.6031","-","0.49, p < 0.0001","0.272",302.11,18.32
"24","GDVI2.CI","drone","0.38, p = 1e-04","0.23, p = 0.0151","-","0.272",302.14,18.35
"42","RED","-","-0.04, p = 0.6808","-","0.51, p < 0.0001","0.271",302.21,18.42
"132","GRE.CI","-","-0.03, p = 0.7195","-","0.53, p < 0.0001","0.271",302.25,18.46
"8","NDVI.CI","-","0.51, p < 0.0001","-","-","0.250",303.32,19.53
"23","GNDVI.CI","drone","0.36, p = 2e-04","0.24, p = 0.0119","-","0.262",303.64,19.85
"26","NIR.CI","drone","0.37, p = 4e-04","0.20, p = 0.0464","-","0.253",304.93,21.14
"10","GDVI2.CI","-","0.48, p < 0.0001","-","-","0.231",306.23,22.44
"12","NIR.CI","-","0.48, p < 0.0001","-","-","0.225",307.03,23.24
"9","GNDVI.CI","-","0.47, p < 0.0001","-","-","0.217",308.18,24.39
"25","RED.CI","drone","-0.27, p = 0.0030","0.34, p = 2e-04","-","0.225",308.98,25.19
"28","REG.CI","drone","0.30, p = 0.0038","0.24, p = 0.0191","-","0.222",309.44,25.65
"21","REG","drone","0.29, p = 0.0089","0.21, p = 0.0562","-","0.211",311.03,27.24
"19","NIR","drone","0.31, p = 0.0090","0.19, p = 0.1067","-","0.211",311.04,27.25
"5","NIR","-","0.44, p < 0.0001","-","-","0.192",311.73,27.94
"7","REG","-","0.43, p < 0.0001","-","-","0.184",312.79,29
"14","REG.CI","-","0.43, p < 0.0001","-","-","0.181",313.11,29.32
"29","-","drone","-","0.40, p < 0.0001","-","0.159",316.09,32.3
"20","GRE","drone","0.12, p = 0.1815","0.41, p < 0.0001","-","0.173",316.25,32.46
"16","GNDVI","drone","0.13, p = 0.3616","0.30, p = 0.0302","-","0.166",317.24,33.45
"27","GRE.CI","drone","-0.08, p = 0.3709","0.40, p < 0.0001","-","0.165",317.27,33.48
"15","NDVI","drone","0.10, p = 0.4879","0.32, p = 0.0249","-","0.163",317.6,33.81
"18","RED","drone","0.05, p = 0.6736","0.43, p = 2e-04","-","0.160",317.91,34.12
"17","GDVI2","drone","-0.03, p = 0.8479","0.42, p = 0.0052","-","0.159",318.06,34.27
"2","GNDVI","-","0.36, p = 1e-04","-","-","0.128",320.08,36.29
"1","NDVI","-","0.35, p = 2e-04","-","-","0.123",320.79,37
"11","RED.CI","-","-0.34, p = 2e-04","-","-","0.117",321.5,37.71
"3","GDVI2","-","0.31, p = 9e-04","-","-","0.096",324.13,40.34
"4","RED","-","-0.22, p = 0.0202","-","-","0.048",329.81,46.02
"6","GRE","-","0.08, p = 0.4209","-","-","0.006",334.66,50.87
"13","GRE.CI","-","-0.07, p = 0.4920","-","-","0.004",334.84,51.05
