"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"2","GNDVI","0.72, p < 0.0001","-","0.490",744,0
"21","GNDVI","0.72, p < 0.0001","0.01, p = 0.8348","0.491",745.96,1.96000000000004
"12","NDVI","0.71, p < 0.0001","0.09, p = 0.0647","0.446",773.08,29.08
"1","NDVI","0.71, p < 0.0001","-","0.440",774.53,30.53
"3","GDVI2","0.70, p < 0.0001","-","0.431",779.16,35.16
"31","GDVI2","0.70, p < 0.0001","0.05, p = 0.2927","0.433",780.04,36.04
"11","-","-","0.06, p = 0.3089","0.003",959.4,215.4
