"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"9","GNDVI.CI","-","0.27, p = 0.0621","-","-","0.080",71.18,24.66
"41","RED","planted","-0.29, p = 0.1315","0.23, p = 0.1659","-","0.121",71.19,24.67
"4","RED","-","-0.35, p = 0.0655","-","-","0.078",71.27,24.75
"29","-","total","-","0.39, p = 0.0663","-","0.078",71.3,24.78
"110","-","planted","-","0.28, p = 0.0818","-","0.070",71.66,25.14
"18","RED","total","-0.25, p = 0.2263","0.28, p = 0.2294","-","0.111",71.71,25.19
"25","RED.CI","total","-0.23, p = 0.2828","0.32, p = 0.1467","-","0.104",72.04,25.52
"113","RED.CI","planted","-0.24, p = 0.2659","0.23, p = 0.1733","-","0.098",72.32,25.8
"11","RED.CI","-","-0.32, p = 0.1216","-","-","0.056",72.33,25.81
"91","GNDVI.CI","planted","0.18, p = 0.3090","0.16, p = 0.4414","-","0.094",72.54,26.02
"61","GRE","planted","-0.12, p = 0.3611","0.32, p = 0.0578","-","0.089",72.75,26.23
"101","GDVI2.CI","planted","0.19, p = 0.3869","0.12, p = 0.6138","-","0.087",72.85,26.33
"20","GRE","total","-0.07, p = 0.5791","0.40, p = 0.0648","-","0.085",72.96,26.44
"131","GRE.CI","planted","-0.09, p = 0.5352","0.33, p = 0.0681","-","0.079",73.24,26.72
"27","GRE.CI","total","0.02, p = 0.8804","0.39, p = 0.0691","-","0.079",73.27,26.75
"6","GRE","-","-0.06, p = 0.6590","-","-","0.005",74.66,28.14
"13","GRE.CI","-","0.01, p = 0.9174","-","-","0.000",74.86,28.34
