"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"8","NDVI.CI","-","0.57, p < 0.0001","-","-",0.32,669.496,61.396
"26","NIR.CI","drone","0.41, p < 0.0001","0.22, p = 5e-04","-",0.33,669.655,61.5549999999999
"12","NIR.CI","-","0.55, p < 0.0001","-","-",0.29,676.085,67.985
"9","GNDVI.CI","-","0.54, p < 0.0001","-","-",0.29,678.364,70.264
"10","GDVI2.CI","-","0.53, p < 0.0001","-","-",0.28,684.171,76.071
"28","REG.CI","drone","0.31, p < 0.0001","0.28, p < 0.0001","-",0.28,686.558,78.458
"25","RED.CI","drone","-0.26, p < 0.0001","0.41, p < 0.0001","-",0.28,687.168,79.068
"19","NIR","drone","0.34, p < 0.0001","0.23, p = 0.0020","-",0.27,687.73,79.63
"5","NIR","-","0.50, p < 0.0001","-","-",0.25,691.961,83.861
"21","REG","drone","0.27, p = 2e-04","0.28, p = 2e-04","-",0.26,693.852,85.752
"14","REG.CI","-","0.48, p < 0.0001","-","-",0.23,698.048,89.948
"16","GNDVI","drone","0.25, p = 0.0039","0.27, p = 0.0025","-",0.24,698.781,90.6809999999999
"29","-","drone","-","0.47, p < 0.0001","-",0.22,702.116,94.016
"7","REG","-","0.46, p < 0.0001","-","-",0.22,702.685,94.5849999999999
"2","GNDVI","-","0.46, p < 0.0001","-","-",0.22,702.957,94.857
"27","GRE.CI","drone","-0.12, p = 0.0338","0.48, p < 0.0001","-",0.23,703.507,95.4069999999999
"15","NDVI","drone","0.13, p = 0.1494","0.36, p = 1e-04","-",0.22,705.003,96.903
"17","GDVI2","drone","-0.02, p = 0.8329","0.48, p < 0.0001","-",0.22,706.975,98.875
"18","RED","drone","0.03, p = 0.6909","0.48, p < 0.0001","-",0.22,707.52,99.42
"20","GRE","drone","0.02, p = 0.6655","0.47, p < 0.0001","-",0.22,707.852,99.752
"1","NDVI","-","0.42, p < 0.0001","-","-",0.17,716.06,107.96
"3","GDVI2","-","0.37, p < 0.0001","-","-",0.13,727.42,119.32
"11","RED.CI","-","-0.35, p < 0.0001","-","-",0.13,732.436,124.336
"4","RED","-","-0.24, p = 1e-04","-","-",0.06,748.797,140.697
"13","GRE.CI","-","-0.07, p = 0.2675","-","-",0.01,762.697,154.597
"6","GRE","-","0.03, p = 0.6113","-","-",0,763.654,155.554
