"","response","predictor 1: VI","predictor 2: A-horizon","R2","AIC"
"1","cover","NDVI,  184.29 ,  0.0000",NA,"0.441","2254.04"
"2","cover","GDVI2,  267.15 ,  0.0000",NA,"0.427","2260.06"
"3","cover","GNDVI,  287.45 ,  0.0000",NA,"0.250","3771.24"
"4","cover","NDVI,  18.21 ,  0.0000","Ahor,  1.48 ,  0.2993","0.443","2254.95"
"5","cover","GDVI2,  17.56 ,  0.0000","Ahor,  0.64 ,  0.6559","0.428","2261.86"
"6","cover","GNDVI,  18.44 ,  0.0000","Ahor,  -0.18 ,  0.8932","0.492","2231.98"
