"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"124","HH.1124950.rep1","ANEVIR","CXBICK","POLBIC","ROSCAR","ECHPAL","POLREP","OENPIL","AMOCAN","SYMNOV","RUDFUL","ELYCAN","SPOHET","PHYVIR","LILMIC","BAPBRA","GL","Total B"
"125","","7.1","17.3","0","6.6","9.1","-0.1","25.9","0","1253","97.6","191","2.4","65.3","0","0","114.8","1790"
"128","ML.975885.rep1","RUDTRI","MONBRA","DALPUR","ASCHIR","AGANEP","ARNPLA","SILINT","KOEMAC","VERSTR","SISANG","ROSBLA","HEURIC","AGASCR","PYCVIR","ZIZAPT","GL","Total B"
"129","","20.2","36.6","0.7","0.1","535.5","15.3","38.6","69.7","0.8","15.9","13.3","3.4","114.8","30.8","19","122.4","1037.1"
"136","ML.1623993.rep1","KOEMAC","MONFIS","TEUCAN","POLBIC","PENHIR","POTARU","SYMSER","SYMLAE","DESILL","ASCSYR","PHLPIL","SENMAR","RUDSUB","DSMILL","BAPALB","GL","Total B"
"137","","53.7","157.7","5.9","0","51.2","43.3","0","54.7","11","1","0","0","349.2","5.6","1.3","51","785.6"
"149","HL.1338677.rep1","CXANNE","MAIRAC","HYPPYR","RUEHUM","DODMEA","HELHEL","ASCSUL","CAMROT","ERYYUC","HELMOL","VERSTR","MONFIS","OENPIL","DSMILL","VIOPDF","GL","Total B"
"150","","72.6","0","1.2","0.7","0.2","8.1","0","0.7","7.6","784","0","265.5","9.6","19.4","0.7","26.4","1196.7"
"156","LL.653844.rep1","ASCTUB","BLECIL","HELHEL","BAPBRA","ASCHIR","VIOPDF","CXGRAV","AGASCR","SOLNEM","PYCVIR","AGANEP","RUDHIR","ASCSUL","DALPUR","OENPIL","GL","Total B"
"157","","0.5","0","146.6","0","0","0","50.2","27.8","25.2","8.4","544.3","2.5","5.4","0.5","4.7","105.3","921.4"
"163","LL.1368877.rep1","AGASCR","SOLJUN","BROKAL","HYPPYR","ECHPUR","KOEMAC","ELYCAN","BAPALB","HELAUT","OENPIL","RUEHUM","PYCVIR","HIEODO","GENAND","DESILL","GL","Total B"
"164","","108.2","255.8","0","4.1","32","47.7","0.8","0","220.2","4.7","0","98.6","85.2","0","0.3","29.2","886.8"
"173","HL.1403369.rep1","POLBIC","SILINT","PARINT","ANECYL","PYCVIR","HEURIC","VERFAS","LESCAP","ALLCER","ZIZAPT","POTARU","ZIZAUR","VIOPDF","KOEMAC","GENAND","GL","Total B"
"174","","0","186.3","25.1","4.3","0.5","37.5","0","1.9","1.3","6.1","2","67.7","0","44.2","7.5","34.5","418.9"
"186","ML.585975.rep1","EUPCOR","BAPALB","CEAAME","CXGRAV","PHLPIL","EUPALT","BRIEUP","ALLCAN","DALPUR","CXNORM","GENAND","HYPPYR","PHYVIR","VERMIS","MONBRA","GL","Total B"
