"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"31","GDVI2","0.88, p < 0.0001","0.11, p = 0.0032","0.774",426.66,0
"3","GDVI2","0.88, p < 0.0001","-","0.766",433.48,6.81999999999999
"12","NDVI","0.89, p < 0.0001","0.15, p = 1e-04","0.752",450.34,23.6799999999999
"1","NDVI","0.89, p < 0.0001","-","0.736",463.64,36.98
"21","GNDVI","0.85, p < 0.0001","0.07, p = 0.0801","0.731",470.91,44.25
"2","GNDVI","0.85, p < 0.0001","-","0.727",472.02,45.36
"11","-","-","0.14, p = 0.0556","0.014",798.42,371.76
