"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"14","REG.CI","-","0.52, p < 0.0001","-","-",0.251,430.24,53.82
"18","RED","total","-0.06, p = 0.5563","0.43, p < 0.0001","-",0.262,431.06,54.64
"27","GRE.CI","total","-0.05, p = 0.5712","0.46, p < 0.0001","-",0.262,431.13,54.71
"17","GDVI2","total","0.00, p = 0.9826","0.47, p < 0.0001","-",0.261,431.23,54.81
"20","GRE","total","0.03, p = 0.7506","0.47, p < 0.0001","-",0.262,431.52,55.1
"2","GNDVI","-","0.43, p < 0.0001","-","-",0.228,432.99,56.57
"1","NDVI","-","0.40, p < 0.0001","-","-",0.211,435.86,59.44
"7","REG","-","0.46, p < 0.0001","-","-",0.224,436.24,59.82
"11","RED.CI","-","-0.48, p < 0.0001","-","-",0.172,439.73,63.31
"3","GDVI2","-","0.34, p < 0.0001","-","-",0.163,443.75,67.33
"4","RED","-","-0.36, p < 0.0001","-","-",0.148,445.43,69.01
"13","GRE.CI","-","-0.11, p = 0.3071","-","-",0.016,466.15,89.73
"6","GRE","-","-0.06, p = 0.5297","-","-",0.013,466.97,90.55
