"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"31","GDVI2","0.87, p < 0.0001","0.11, p = 3e-04","0.768",493.66,0
"3","GDVI2","0.87, p < 0.0001","-","0.759",504.98,11.32
"12","NDVI","0.87, p < 0.0001","0.15, p < 0.0001","0.741",529.45,35.79
"1","NDVI","0.87, p < 0.0001","-","0.722",550.88,57.22
"21","GNDVI","0.83, p < 0.0001","0.06, p = 0.0558","0.722",553.37,59.71
"2","GNDVI","0.84, p < 0.0001","-","0.718",555.07,61.41
"11","-","-","0.13, p = 0.0306","0.014",963.5,469.84
