"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"51","NIR","planted","0.33, p = 0.0429","0.10, p = 0.5629","-",0.223,78.4,22.18
"81","NDVI.CI","planted","0.38, p = 0.0634","-0.06, p = 0.7954","-",0.192,78.55,22.33
"110","-","planted","-","0.28, p = 0.0851","-",0.1,78.63,22.41
"111","-","-","-","-","0.28, p = 0.0851",0.1,78.63,22.41
"21","REG","total","0.30, p = 0.1252","0.18, p = 0.4501","-",0.178,78.86,22.64
"121","NIR.CI","planted","0.34, p = 0.0711","-0.02, p = 0.9188","-",0.19,78.92,22.7
"23","GNDVI.CI","total","0.24, p = 0.0916","0.32, p = 0.1232","-",0.179,78.94,22.72
"18","RED","total","-0.30, p = 0.1455","0.24, p = 0.2844","-",0.186,79.04,22.82
"41","RED","planted","-0.33, p = 0.0853","0.20, p = 0.2019","-",0.195,79.22,23
"71","REG","planted","0.31, p = 0.0974","0.14, p = 0.4380","-",0.182,79.45,23.23
"25","RED.CI","total","-0.26, p = 0.2142","0.30, p = 0.1668","-",0.162,79.49,23.27
"141","REG.CI","planted","0.32, p = 0.1182","0.02, p = 0.9244","-",0.162,79.51,23.29
"113","RED.CI","planted","-0.27, p = 0.2069","0.21, p = 0.2030","-",0.155,80.33,24.11
"91","GNDVI.CI","planted","0.20, p = 0.2578","0.14, p = 0.4952","-",0.141,80.98,24.76
"101","GDVI2.CI","planted","0.20, p = 0.3437","0.10, p = 0.6673","-",0.127,81.02,24.8
"20","GRE","total","-0.08, p = 0.5614","0.39, p = 0.0664","-",0.115,81.64,25.42
"6","GRE","-","-0.06, p = 0.6437","-","-",0.05,81.82,25.6
"27","GRE.CI","total","0.01, p = 0.9199","0.38, p = 0.0715","-",0.105,81.87,25.65
"13","GRE.CI","-","0.01, p = 0.9597","-","-",0.045,81.93,25.71
"61","GRE","planted","-0.12, p = 0.3554","0.31, p = 0.0600","-",0.116,81.95,25.73
"131","GRE.CI","planted","-0.10, p = 0.4999","0.32, p = 0.0678","-",0.117,82.16,25.94
