"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"115","NDVI","-","0.10, p = 0.1231","-","0.54, p < 0.0001",0.351,661.42,53.3199999999999
"32","GDVI2","-","0.08, p = 0.1891","-","0.55, p < 0.0001",0.348,662.2,54.1
"42","RED","-","-0.06, p = 0.2681","-","0.58, p < 0.0001",0.349,662.94,54.84
"62","GRE","-","-0.04, p = 0.4453","-","0.60, p < 0.0001",0.348,663.67,55.5699999999999
"24","GDVI2.CI","total","0.39, p < 0.0001","0.29, p < 0.0001","-",0.334,666.79,58.6899999999999
"8","NDVI.CI","-","0.57, p < 0.0001","-","-",0.317,669.5,61.4
"26","NIR.CI","total","0.41, p < 0.0001","0.22, p = 5e-04","-",0.326,669.66,61.5599999999999
"12","NIR.CI","-","0.55, p < 0.0001","-","-",0.293,676.08,67.98
"9","GNDVI.CI","-","0.54, p < 0.0001","-","-",0.287,678.36,70.26
"10","GDVI2.CI","-","0.53, p < 0.0001","-","-",0.275,684.17,76.0699999999999
"28","REG.CI","total","0.31, p < 0.0001","0.28, p < 0.0001","-",0.279,686.56,78.4599999999999
"25","RED.CI","total","-0.26, p < 0.0001","0.41, p < 0.0001","-",0.278,687.17,79.0699999999999
"19","NIR","total","0.34, p < 0.0001","0.23, p = 0.0020","-",0.275,687.73,79.63
"5","NIR","-","0.50, p < 0.0001","-","-",0.248,691.96,83.86
"21","REG","total","0.27, p = 2e-04","0.28, p = 2e-04","-",0.257,693.85,85.75
"14","REG.CI","-","0.48, p < 0.0001","-","-",0.229,698.05,89.9499999999999
"16","GNDVI","total","0.25, p = 0.0039","0.27, p = 0.0025","-",0.242,698.78,90.6799999999999
"29","-","total","-","0.47, p < 0.0001","-",0.217,702.12,94.02
"7","REG","-","0.46, p < 0.0001","-","-",0.215,702.68,94.5799999999999
"2","GNDVI","-","0.46, p < 0.0001","-","-",0.216,702.96,94.86
"27","GRE.CI","total","-0.12, p = 0.0338","0.48, p < 0.0001","-",0.23,703.51,95.41
"15","NDVI","total","0.13, p = 0.1494","0.36, p = 1e-04","-",0.223,705,96.9
"17","GDVI2","total","-0.02, p = 0.8329","0.48, p < 0.0001","-",0.216,706.98,98.88
"18","RED","total","0.03, p = 0.6909","0.48, p < 0.0001","-",0.217,707.52,99.42
"20","GRE","total","0.02, p = 0.6655","0.47, p < 0.0001","-",0.217,707.85,99.75
"1","NDVI","-","0.42, p < 0.0001","-","-",0.172,716.06,107.96
"3","GDVI2","-","0.37, p < 0.0001","-","-",0.134,727.42,119.32
"11","RED.CI","-","-0.35, p < 0.0001","-","-",0.133,732.44,124.34
"4","RED","-","-0.24, p = 1e-04","-","-",0.061,748.8,140.7
"13","GRE.CI","-","-0.07, p = 0.2675","-","-",0.006,762.7,154.6
"6","GRE","-","0.03, p = 0.6113","-","-",0.001,763.65,155.55
