"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"2","GNDVI","0.71, p < 0.0001",NA,"0.481",862.5,0
"21","GNDVI","0.71, p < 0.0001","0.01, p = 0.7095","0.481",864.36,1.86000000000001
"12","NDVI","0.68, p < 0.0001","0.08, p = 0.0485","0.441",893.57,31.0700000000001
"1","NDVI","0.68, p < 0.0001",NA,"0.436",895.5,33
"3","GDVI2","0.69, p < 0.0001",NA,"0.434",896.26,33.76
"31","GDVI2","0.69, p < 0.0001","0.05, p = 0.2348","0.437",896.84,34.34
"11",NA,NA,"0.06, p = 0.2114","0.004",1118.71,256.21
