"","VI used","VI","A-horizon","R2","AIC","deltaAIC"
"12","NDVI","0.40, p = 0.0018","0.14, p = 0.0336","0.149",97.59,0
"2","GNDVI","0.39, p = 0.0027","-","0.122",97.91,0.319999999999993
"21","GNDVI","0.38, p = 0.0030","0.07, p = 0.2582","0.138",98.56,0.969999999999999
"31","GDVI2","0.49, p = 0.0050","0.12, p = 0.0665","0.126",99.53,1.94
"1","NDVI","0.32, p = 0.0098","-","0.091",100.33,2.73999999999999
"3","GDVI2","0.42, p = 0.0147","-","0.082",101.07,3.47999999999999
"11","-","-","0.08, p = 0.2388","0.020",105.8,8.20999999999999
