"","mean","min","max","meanMonoculture","meanTreatment","plotTypeP","blockP","range"
"biomass",410.875922818792,0,3977.625,398.96781496063,479.618181818182,0.00156278999488134,0.4001047938798,3977.625
"coverGround",62.8115264797508,0,99.5,62.7670682730924,73.9791666666667,0.00301886885249737,0.274825796843712,99.5
"coverDrone",74.1411042944785,0,100,73.996062992126,83.6805555555556,0.143011334846588,0.0025628081220855,100
"NDVI",0.650498558475642,0.0773483550536895,0.878606317698687,0.632089901401263,0.715440209821365,0.00249755065471096,0.0260431024124926,0.801257962644997
"GNDVI",0.662091696552783,0.385235615890712,0.82277321221087,0.652613231677716,0.695529614306494,0.00154926536840729,0.00368409405707133,0.437537596320158
"GDVI2",0.854990679426657,0.148507492418629,0.990933322591981,0.837056132693305,0.918259774847094,0.00861407138002022,0.0187261291639823,0.842425830173352
