"","response","predictor 1: VI","predictor 2: A-horizon","R2","AIC"
"1","cover","NDVI,  119.20 ,  0.0058",NA,"0.168","354.60"
"2","cover","GDVI2,  233.45 ,  0.0079",NA,"0.156","355.20"
"3","cover","GNDVI,  168.39 ,  0.0232",NA,"0.166","602.11"
"4","cover","NDVI,  12.03 ,  0.0057","Ahor,  1.87 ,  0.6326","0.172","356.35"
"5","cover","GDVI2,  15.43 ,  0.0085","Ahor,  0.92 ,  0.8140","0.157","357.14"
"6","cover","GNDVI,  10.81 ,  0.0248","Ahor,  0.51 ,  0.8976","0.117","359.19"
