"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"19","NIR","total","0.33, p < 0.0001","0.23, p = 7e-04","-",0.272,771.26,90.09
"25","RED.CI","total","-0.25, p < 0.0001","0.41, p < 0.0001","-",0.274,771.95,90.7800000000001
"5","NIR","-","0.49, p < 0.0001","-","-",0.244,777.33,96.1600000000001
"21","REG","total","0.27, p = 1e-04","0.28, p < 0.0001","-",0.255,778.43,97.26
"16","GNDVI","total","0.27, p = 9e-04","0.25, p = 0.0018","-",0.243,782.81,101.64
"14","REG.CI","-","0.47, p < 0.0001","-","-",0.224,785.23,104.06
"2","GNDVI","-","0.47, p < 0.0001","-","-",0.221,787.4,106.23
"29","-","total","-","0.46, p < 0.0001","-",0.214,788.76,107.59
"7","REG","-","0.46, p < 0.0001","-","-",0.211,789.87,108.7
"27","GRE.CI","total","-0.11, p = 0.0326","0.47, p < 0.0001","-",0.226,790.27,109.1
"15","NDVI","total","0.15, p = 0.0752","0.35, p < 0.0001","-",0.222,790.74,109.57
"17","GDVI2","total","0.00, p = 0.9909","0.46, p < 0.0001","-",0.214,793.84,112.67
"18","RED","total","0.02, p = 0.7781","0.47, p < 0.0001","-",0.214,794.39,113.22
"20","GRE","total","0.02, p = 0.7144","0.46, p < 0.0001","-",0.214,794.72,113.55
"1","NDVI","-","0.42, p < 0.0001","-","-",0.176,803.1,121.93
"3","GDVI2","-","0.37, p < 0.0001","-","-",0.136,816.83,135.66
"11","RED.CI","-","-0.35, p < 0.0001","-","-",0.133,823.14,141.97
"4","RED","-","-0.25, p < 0.0001","-","-",0.065,841.48,160.31
"13","GRE.CI","-","-0.07, p = 0.2142","-","-",0.005,858.86,177.69
"6","GRE","-","0.02, p = 0.6779","-","-",0.001,860.23,179.06
