"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"12","NIR.CI","-","0.54, p < 0.0001","-","-",0.29,678.386,70.2859999999999
"25","RED.CI","drone","-0.28, p < 0.0001","0.40, p < 0.0001","-",0.29,683.673,75.573
"28","REG.CI","drone","0.31, p < 0.0001","0.28, p < 0.0001","-",0.28,686.558,78.458
"19","NIR","drone","0.34, p < 0.0001","0.23, p = 0.0020","-",0.27,687.73,79.63
"5","NIR","-","0.50, p < 0.0001","-","-",0.25,691.961,83.861
"21","REG","drone","0.27, p = 2e-04","0.28, p = 2e-04","-",0.26,693.852,85.752
"16","GNDVI","drone","0.29, p = 5e-04","0.24, p = 0.0036","-",0.25,695.206,87.106
"14","REG.CI","-","0.48, p < 0.0001","-","-",0.23,698.048,89.948
"2","GNDVI","-","0.48, p < 0.0001","-","-",0.23,698.521,90.4209999999999
"15","NDVI","drone","0.22, p = 0.0101","0.31, p = 2e-04","-",0.24,700.599,92.499
"29","-","drone","0.47, p < 0.0001","-","-",0.22,702.116,94.016
"7","REG","-","0.46, p < 0.0001","-","-",0.22,702.685,94.5849999999999
"27","GRE.CI","drone","-0.08, p = 0.1673","0.47, p < 0.0001","-",0.22,706.077,97.977
"18","RED","drone","-0.08, p = 0.2231","0.43, p < 0.0001","-",0.22,706.273,98.173
"17","GDVI2","drone","0.05, p = 0.6299","0.43, p < 0.0001","-",0.22,706.766,98.6659999999999
"20","GRE","drone","0.01, p = 0.8157","0.47, p < 0.0001","-",0.22,707.981,99.881
"1","NDVI","-","0.45, p < 0.0001","-","-",0.2,708.996,100.896
"3","GDVI2","-","0.39, p < 0.0001","-","-",0.15,722.009,113.909
"11","RED.CI","-","-0.39, p < 0.0001","-","-",0.17,724.463,116.363
"4","RED","-","-0.30, p < 0.0001","-","-",0.1,741.704,133.604
"13","GRE.CI","-","-0.04, p = 0.5323","-","-",0,763.477,155.377
"6","GRE","-","0.02, p = 0.7529","-","-",0,763.81,155.71
