"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"25","RED.CI","total","-0.28, p = 0.0032","0.36, p < 0.0001","-","0.291",405.28,48.1
"12","NIR.CI","-","0.56, p < 0.0001","-","-","0.277",406.05,48.87
"19","NIR","total","0.27, p = 0.0097","0.30, p = 0.0015","-","0.281",407.31,50.13
"9","GNDVI.CI","-","0.51, p < 0.0001","-","-","0.256",410.39,53.21
"21","REG","total","0.19, p = 0.0634","0.35, p = 2e-04","-","0.264",410.63,53.45
"16","GNDVI","total","0.17, p = 0.1102","0.33, p = 0.0028","-","0.260",411.54,54.36
"29","-","total","-","0.47, p < 0.0001","-","0.246",412.16,54.98
"15","NDVI","total","0.13, p = 0.2371","0.36, p = 0.0013","-","0.254",412.73,55.55
"10","GDVI2.CI","-","0.49, p < 0.0001","-","-","0.243",412.89,55.71
"27","GRE.CI","total","-0.07, p = 0.4666","0.46, p < 0.0001","-","0.249",413.62,56.44
"18","RED","total","-0.06, p = 0.5554","0.43, p < 0.0001","-","0.248",413.8,56.62
"20","GRE","total","0.02, p = 0.8571","0.47, p < 0.0001","-","0.247",414.13,56.95
"17","GDVI2","total","-0.01, p = 0.9076","0.48, p < 0.0001","-","0.247",414.15,56.97
"5","NIR","-","0.49, p < 0.0001","-","-","0.228",415.61,58.43
"14","REG.CI","-","0.52, p < 0.0001","-","-","0.220",417.22,60.04
"2","GNDVI","-","0.43, p < 0.0001","-","-","0.212",418.68,61.5
"1","NDVI","-","0.41, p < 0.0001","-","-","0.198",421.34,64.16
"7","REG","-","0.46, p < 0.0001","-","-","0.187",423.19,66.01
"11","RED.CI","-","-0.48, p < 0.0001","-","-","0.175",425.35,68.17
"3","GDVI2","-","0.35, p < 0.0001","-","-","0.154",429.12,71.94
"4","RED","-","-0.36, p < 0.0001","-","-","0.144",430.8,73.62
"13","GRE.CI","-","-0.12, p = 0.2733","-","-","0.008",452.25,95.07
"6","GRE","-","-0.07, p = 0.4857","-","-","0.003",452.98,95.8
