Miceimputation...1.,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Carex_annectens,0.43,345.2,152.3,1.52,41.72,0.12,454.9,0.04,86.41,7.34,0.25,3.9,47.04,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,5,FACW,0.9
Carex_bicknellii,1.3338,397,137.7,1.29,44.09,0.14,454.2,0.04,94.54,9.1,0.26,2.73,66.92,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,5,FACU,2.4
Carex_blanda,1.41,224,362,2.16,44.57,0.12,169,0.07,25.5,31.25,0.25,0.89,153.5,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,5,FAC,1.3
Carex_brevior,0.89,305.4,224.9,1.41,42.82,0.12,453.4,0.07,109.97,8.63,0.28,2.22,23.05,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,5,FAC,1.2
Carex_gravida,1.13,381.4,156.3,1.89,43.27,0.12,412.8,0.08,81.78,17.54,0.26,1.09,58.58,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,5,FACU,1.6
Carex_molesta,0.73,376.6,179,1.44,43.12,0.11,496.4,0.04,91.44,7.85,0.21,2.4,47.04,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,5,FAC,1.9
Carex_normalis,0.73,324.9,247.7,1.52,44.9,0.12,294,0.07,152.4,8.06,0.22,3.5,3.97,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,5,FACW,16.7
Castilleja_coccinea,0.3125,376.6,320,1.48,47.36,0.27,494,0.62,48.77,16.65,0.07,8.93,153.5,chamaephytes,C3,0,1,0,0,0,0,0,0,F,0,1,4,FAC,1.9
Ceanothus_americanus,3.49,454.4,12.5,2.16,46.98,0.11,494,0.65,47.35,5.74,0.34,3.65,4.94,phanerophytes,C3,0,1,0,0,0,0,0,0,SS,1,3,6,UPL,1.05
Chamaecrista_fasciculata,7.7429,411.3,320,2.26,47.67,0.14,414.1,0.67,41.4,7.4,0.07,3.26,3.97,chamaephytes,C3,0,1,0,0,0,0,0,0,F,1,1,7,FACU,1.3
Coreopsis_palmata,1.2259,392.3,81.8,1.28,45.89,0.14,431.4,0.1,73.68,5.75,0.3,3.1,13.08,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,5.4
Coreopsis_tripteris,1.2472,364.9,85.8,1.59,43.31,0.31,412.8,0.08,171.17,8.5,0.39,12.32,19.33,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FAC,5
Dalea_candida,1.868,362.6,85.2,2.38,42.98,0.12,47.2,0.07,67.96,3.93,0.38,2.45,4.08,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,6,UPL,1
Dalea_purpurea,0.9422,381.6,83.5,2.15,42.36,0.12,484.9,0.07,48.88,1.61,0.45,1.55,7.38,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,6,UPL,1.5
Desmanthus_illinoensis,5.8648,420,156.3,2.53,48.25,0.14,464.8,0.35,94.34,4.97,0.11,6.49,3.52,phanerophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACU,0.9
Desmodium_canadense,3.4956,433.4,175.2,2.56,47.79,0.14,43.5,0.16,101.98,7.33,0.21,8.93,5.94,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACU,0.9
Desmodium_illinoense,5.72,397,143.8,2.26,42.87,0.31,355.6,0.18,70.13,9.54,0.35,10.44,45.08,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,UPL,1.3
Dodecatheon_meadia,0.1599,165.5,195.5,2.22,41.53,0.27,254.8,0.44,21.54,14.07,0.39,4.23,58.58,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,4,FACU,5.5
Echinacea_pallida,5.664,225.6,11.6,1.99,37.48,0.34,273.3,0.22,52.13,13.88,0.79,1.83,66.92,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,27.2
Echinacea_purpurea,3.4913,262.7,149.4,1.69,39.15,0.27,373.2,0.41,72.5,9.3,0.35,3.12,23.05,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,18.8
Elymus_canadensis,4.2714,542.3,12.4,2.03,46.1,0.12,518.7,0.08,100.68,23.54,0.22,1.13,43.44,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,7,FACU,19.1
Eragrostis_spectabilis,0.2556,461.1,11.5,1.7,44.33,0.11,369.4,0.04,14.65,25.36,0.1,0.14,61.88,geophytes,C4,1,0,0,0,0,1,0,0,G,0,3,6,UPL,2.3
Eryngium_yuccifolium,2.5978,293.4,85.1,1.7,44.9,0.15,32.7,0.11,98.66,16.65,0.57,2.12,73.58,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,8.1
Eupatorium_altissimum,0.2887,325.3,92.5,1.69,43.44,0.11,454.5,0.31,82.89,6.76,0.39,1.33,3.52,hemicryptophytes,C3,0,0,0,0,0,0,0,0,F,0,3,7,FACU,6.1
Euphorbia_corollata,1.8168,343.7,141.2,2.12,45.28,0.19,245.4,0.5,65.94,4.46,0.22,1.09,3.97,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,1.8
