Miceimputation...1.,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Solidago_speciosa,0.1929,36.9,86.1,1.19,46.06,0.27,454.2,0.36,73.92,5.09,0.33,1,123.44,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,UPL,4.4
Sorghastrum_nutans,0.6843,459.6,11.3,1.27,41.72,0.13,453.4,0.08,145.09,31.32,0.28,0.95,106.5,geophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FACU,5.6
Spiraea_alba,0.8812,528.3,142,1.85,47.67,0.12,563.1,0.35,81.68,5.76,0.17,1.46,4.69,chamaephytes,C3,0,1,0,0,0,0,0,0,SS,0,3,6,FACW,1.2
Sporobolus_heterolepis,1.4663,500.9,15.3,1.27,44.57,0.14,429.1,0.18,55.95,34.58,0.13,8.09,123.44,geophytes,C4,1,0,0,0,0,0,0,0,G,0,3,8,FACU,2.1
Symphyotrichum_ericoides,0.74,35.6,125.9,1.83,42.48,0.14,517.7,0.35,55.2,1.41,0.37,0.2,23.05,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,8,FACU,2.3
Symphyotrichum_laeve,0.2853,31.4,148.1,1.63,42.84,0.24,46.1,0.37,80.84,7.58,0.3,1.77,98,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,8,FACU,4.6
Symphyotrichum_novae-angliae,0.1614,294.2,198.4,1.5,41.61,0.11,496.4,0.37,108.65,5.44,0.3,1.1,58.58,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,8,FACW,2.8
Symphyotrichum_oblongifolium,0.7,277.4,196.9,1.74,42.95,0.27,392.2,0.34,100.68,15.05,0.44,0.4,41.5,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,8,UPL,7
Symphyotrichum_oolentangiense,0.23,286.6,118.6,2.21,43.67,0.31,459.4,0.26,68.37,8.14,0.44,1.09,14.08,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,8,UPL,3.3
Symphyotrichum_sericeum,0.1782,387.1,104.6,1.86,43.18,0.32,574.2,0.53,43.52,2.09,0.36,0.6,6.73,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,UPL,2.6
Teucrium_canadense,1.9052,291,320,2.27,46.86,0.34,318,0.4,61.58,8.84,0.23,3.57,7.2,chamaephytes,C3,1,1,0,0,0,1,0,0,F,0,3,6,FACW,1.6
Thalictrum_dasycarpum,1.9744,263,45,4.58,46.28,0.22,181,0.67,98.75,18.4,0.16,18.45,4.75,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,FACW,7.5
Tradescantia_ohiensis,2.626,139.2,153.6,2.84,41.44,0.19,75.3,0.09,68.18,27.99,0.51,1.71,123.44,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,4,FACU,75.5
Verbena_stricta,0.7315,412.9,11.5,1.41,43.15,0.27,355.6,0.37,55.29,5.85,0.44,3.26,1.77,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,2,7,UPL,1
Vernonia_altissima,0.8324,269.7,112.7,2.23,48.25,0.33,313.6,0.1,86.41,8.06,0.28,0.26,2.45,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,7,FAC,7.5
Vernonia_fasciculata,1.4102,302.6,362,2.18,45.52,0.31,377.3,0.57,129.7,7.4,0.2,2.9,2.45,chamaephytes,C3,0,0,0,0,0,0,0,0,F,0,3,7,FACW,7
Vernonia_missurica,1.025,151.2,91.2,1.7,44.41,0.32,31.8,0.04,182.88,23.54,0.5,17.68,61.88,hemicryptophytes,C3,0,0,0,0,0,0,0,0,F,0,3,7,FAC,5.5
Veronicastrum_virginicum,0.7,356.5,111.4,1.58,46.88,0.14,378.2,0.23,86.41,8.9,0.28,1.85,2.13,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,2.2
Viola_pedata,0.6466,269.7,137.7,2.29,42.65,0.12,145.2,0.04,14.51,3.25,0.39,2.9,87.17,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,4,UPL,2.2
Viola_pedatifida,2.626,275.5,210.7,1.97,43.27,0.22,37.4,0.37,30.48,7.63,0.26,3.03,9.19,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FACU,3.2
Zizia_aptera,2.2532,31.2,117.3,1.67,43.41,0.18,37.4,0.28,50.66,7.34,0.33,6.49,98,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,5,FACU,6
Zizia_aurea,2.2667,275.5,75.9,1.7,44.34,0.12,313.6,0.02,85.35,2.56,0.26,3.4,11.55,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,4,FAC,1.9
