plot	type	species	plot.biomass.withGL	mono.total	mono.bag	mono.gl	mono.gl.total	mono.gl.bag												Collector	Date
			Tot. Weight	19.9	0	111.4	509.1	11.5	1048.9	4.4	7.2	4.8	83.6	44.8	0	0	0	68.2	77.1		
			Bag Weight	4.3	0	21.2	8	4.3	117.7	4.3	4.2	4.3	11.3	11.3	0	0	0	11.2	11.3		
43	Mono	VIOPDF	12.1	10.8	4.3	5.6	9.9	4.3													11/9/2017
44	Plug	CONTROL																			
46	Mono	SCHSCO	181.5	190.5	21.3	12.3	16.5	4.2													11/9/2017
47	Plug	MH.831258.rep1	Total B	LILMIC	ALLCER	BAPALB	BAPBRA	HELMOL	MONBRA	CEAAME	VERGIG	ERYYUC	SENHEB	AGATEN	OLIRIG	ASCSYR	PENDIG	ERASPE	GL	ALT	10/16/2017
			1539.7	0	9.5	1	0.2	1352.5	20.3	0.3	0.5	24	0.4	0	2	0	96.2	12	20.8		
			Tot. Weight	0	13.8	5.3	4.5	1498	31.6	4.6	4.8	35.3	4.7	0	6.2	0	107.5	16.3	25.1		
			Bag Weight	0	4.3	4.3	4.3	145.5	11.3	4.3	4.3	11.3	4.3	0	4.2	0	11.3	4.3	4.3		
48	Mono	ASCSYR	0			0															
51	Mono	ALLCER	66.5	77.7	11.2	0															11/9/2017
52	Mono	ALLCAN	3.1	7.3	4.2	0															11/9/2017
53	Mono	EUPCOR	28.9	32.6	4.2	0.5	4.7	4.2													11/9/2017
54	Mono	ASCSUL	8.5	15.8	11.2	3.9	8.2	4.3													11/9/2017
56	Mono	SILLAC	91.8	110.9	21.3	2.2	6.4	4.2													11/9/2017
58	Plug	CONTROL																			
59	Mono	BOUCUR	125.1	142	21.3	4.4	8.7	4.3													11/9/2017
60	Plug	HL.456657.rep1	Total B	MONFIS	ZIZAPT	ANECYL	SENHEB	SYMNOV	VERGIG	ASCTUB	KOEMAC	AMOCAN	CHAFAS	ALLCAN	HEURIC	HYPPUN	CAMROT	VERVIR	GL	ALT	10/18/2017
			1503.8	136.1	8.3	0	6.3	1232.1	1.2	5.6	53.2	0.1	0	9.2	29.3	0	19.5	2.9	0		
			Tot. Weight	157.4	19.6	0	17.6	1349.8	12.4	16.9	64.5	4.4	0	13.4	33.6	0	23.7	7.2	0		
			Bag Weight	21.3	11.3	0	11.3	117.7	11.2	11.3	11.3	4.3	0	4.2	4.3	0	4.2	4.3	0		
61	Plug	HL.246518.rep1	Total B	EUPCOR	BRIEUP	TRAOHI	ASCTUB	TEUCAN	ASCHIR	POTARU	OENPIL	BLECIL	LILMIC	ANECYL	VERGIG	MAIRAC	DALPUR	CXGRAV	GL	ALT	10/18/2017
			288.9	8.5	18.1	39.2	0	21.1	0	112.4	5.8	24	0	1	7.9	0	10.3	40.6	0		
			Tot. Weight	12.7	22.3	50.4	0	25.3	0	123.6	10.1	28.3	0	5.2	12.2	0	14.5	51.9	0		
			Bag Weight	4.2	4.2	11.2	0	4.2	0	11.2	4.3	4.3	0	4.2	4.3	0	4.2	11.3	0		
63	Mono	SOLNEM	199.6	216.1	21.2	4.7	8.9	4.2													11/9/2017
65	Mono	SENMAR	9.5	13.8	4.3	0															
66	Mono	PHLPIL	1.3	5.5	4.2	0															
68	Mono	ANDGER	132.8	153	22.7	2.5	6.8	4.3													11/9/2017
69	Mono	ZIZAUR	139.6	157.9	21.2	2.9	7.1	4.2													11/9/2017
71	Mono	SENHEB	0			0															
72	Mono	SYMERI	1060.7	1141.8	118.9	37.8	42.1	4.3													11/9/2017
