#Label	X/Longitude	Y/Latitude	Z/Altitude	X_est	Y_est	Z_est
point 158				-88.092892	41.820447	223.348614
point 159				-88.092893	41.820466	222.613684
point 160				-88.092866	41.820466	222.605586
point 161				-88.092866	41.820470	222.744295
point 162				-88.092893	41.820470	222.683840
point 163				-88.092894	41.820488	222.615114
point 164				-88.092865	41.820488	222.822530
point 165				-88.092865	41.820491	222.803443
point 166				-88.092894	41.820491	222.765530
point 167				-88.092894	41.820510	222.732730
point 168				-88.092866	41.820511	222.872617
point 169				-88.092867	41.820516	222.746414
point 170				-88.092894	41.820515	222.692642
point 171				-88.092894	41.820532	222.689336
point 172				-88.092868	41.820534	222.754512
point 173				-88.092869	41.820539	222.721661
point 174				-88.092894	41.820538	222.691440
point 175				-88.092895	41.820555	222.763570
point 176				-88.092870	41.820556	222.743773
point 177				-88.092870	41.820562	222.812331
point 178				-88.092896	41.820560	222.715713
point 179				-88.092897	41.820580	222.772044
point 180				-88.092870	41.820580	222.834597
point 181				-88.092870	41.820586	222.800134
point 182				-88.092896	41.820585	222.771300
point 183				-88.092897	41.820603	222.768929
point 184				-88.092870	41.820603	222.821278
point 185				-88.092869	41.820606	223.105539
point 186				-88.092896	41.820606	222.857841
point 187				-88.092897	41.820624	222.821144
point 188				-88.092871	41.820625	222.788583
point 189				-88.092871	41.820630	222.732379
point 190				-88.092897	41.820629	222.651317
point 191				-88.092899	41.820648	222.631080
point 192				-88.092872	41.820649	222.775436
point 193				-88.092873	41.820653	222.734230
point 194				-88.092900	41.820652	222.667775
point 195				-88.092902	41.820671	222.728296
point 196				-88.092876	41.820672	222.740348
point 197				-88.092875	41.820674	222.783679
point 198				-88.092902	41.820674	222.710835
point 199				-88.092902	41.820694	222.799825
point 200				-88.092875	41.820694	222.889064
point 201				-88.092876	41.820698	222.799720
point 202				-88.092902	41.820698	222.765214
point 203				-88.092902	41.820718	222.839808
point 204				-88.092876	41.820717	222.864562
point 205				-88.092876	41.820722	223.007558
point 206				-88.092903	41.820722	222.916102
point 207				-88.092904	41.820742	222.895607
point 208				-88.092876	41.820742	222.966708
point 209				-88.092878	41.820746	222.961453
point 210				-88.092905	41.820745	223.046576
point 211				-88.092906	41.820764	222.954463
point 212				-88.092880	41.820764	223.058805
point 213				-88.092882	41.820768	223.236705
point 214				-88.092908	41.820766	222.999447
point 215				-88.092910	41.820786	223.038836
point 216				-88.092884	41.820787	223.073227
point 217				-88.092832	41.820379	222.757037
point 218				-88.092856	41.820378	222.785865
point 219				-88.092858	41.820396	222.883372
point 220				-88.092835	41.820397	222.778200
point 221				-88.092834	41.820402	222.813857
point 222				-88.092859	41.820401	222.729331
point 223				-88.092860	41.820418	222.803235
point 224				-88.092836	41.820419	222.788194
point 225				-88.092836	41.820423	222.715233
point 226				-88.092859	41.820422	222.903594
point 227				-88.092859	41.820439	223.423840
point 228				-88.092835	41.820442	222.720779
point 229				-88.092833	41.820445	222.705268
point 230				-88.092859	41.820444	222.948845
point 231				-88.092862	41.820464	222.667483
point 232				-88.092834	41.820465	222.928091
point 233				-88.092834	41.820470	222.707271
point 234				-88.092862	41.820468	222.661009
point 235				-88.092861	41.820487	222.766070
point 236				-88.092835	41.820487	222.818260
point 237				-88.092835	41.820492	222.848924
point 238				-88.092862	41.820491	222.705620
point 239				-88.092862	41.820512	222.811042
point 240				-88.092836	41.820512	223.029734
point 241				-88.092835	41.820516	223.012423
point 242				-88.092863	41.820515	222.792718
point 243				-88.092864	41.820534	222.856775
point 244				-88.092836	41.820534	223.239480
point 245				-88.092836	41.820539	223.099634
point 246				-88.092865	41.820538	222.850935
point 247				-88.092866	41.820557	222.821496
point 248				-88.092837	41.820558	222.971340
point 249				-88.092839	41.820563	222.891857
point 250				-88.092866	41.820563	222.796013
point 251				-88.092866	41.820579	222.883331
point 252				-88.092840	41.820579	223.023030
point 253				-88.092840	41.820585	223.249421
point 254				-88.092867	41.820585	222.786397
point 255				-88.092867	41.820603	222.848874
point 256				-88.092840	41.820603	222.905271
point 257				-88.092840	41.820607	222.851778
point 258				-88.092867	41.820606	222.900195
point 259				-88.092868	41.820626	222.756834
point 260				-88.092840	41.820627	222.848925
point 261				-88.092841	41.820631	222.871077
point 262				-88.092867	41.820631	222.750593
point 263				-88.092867	41.820649	222.730865
point 264				-88.092841	41.820649	222.805326
point 265				-88.092841	41.820653	222.827856
point 266				-88.092869	41.820653	222.731801
point 267				-88.092870	41.820672	222.711243
point 268				-88.092843	41.820672	222.782305
point 269				-88.092842	41.820678	222.845757
point 270				-88.092869	41.820676	222.774482
point 271				-88.092872	41.820694	222.802540
point 272				-88.092844	41.820695	222.950422
point 273				-88.092845	41.820699	222.913908
point 274				-88.092873	41.820698	222.799968
point 275				-88.092875	41.820717	222.895114
point 276				-88.092847	41.820718	223.029529
point 277				-88.092848	41.820723	222.934226
point 278				-88.092873	41.820722	222.922304
point 279				-88.092874	41.820742	223.040273
point 280				-88.092849	41.820743	223.003540
point 281				-88.092849	41.820745	222.994447
point 282				-88.092875	41.820745	222.979086
point 283				-88.092876	41.820762	223.012176
point 284				-88.092850	41.820763	222.992223
point 285				-88.092850	41.820767	222.998677
point 286				-88.092878	41.820767	223.279625
point 287				-88.092879	41.820787	223.039032
point 288				-88.092850	41.820788	223.103758
point 289				-88.092802	41.820379	223.005622
point 290				-88.092828	41.820378	222.810715
point 291				-88.092830	41.820397	222.787230
point 292				-88.092803	41.820396	222.906640
point 293				-88.092802	41.820400	222.913880
point 294				-88.092829	41.820399	222.793911
point 295				-88.092831	41.820419	222.757897
point 296				-88.092803	41.820420	222.946266
point 297				-88.092804	41.820425	222.914337
point 298				-88.092831	41.820425	222.744701
point 299				-88.092831	41.820442	222.733317
point 300				-88.092803	41.820444	223.369909
point 301				-88.092803	41.820448	222.805572
point 302				-88.092828	41.820446	222.756913
point 303				-88.092829	41.820467	222.720865
point 304				-88.092803	41.820467	222.855037
point 305				-88.092804	41.820471	222.893018
point 306				-88.092830	41.820470	222.785182
point 307				-88.092831	41.820489	222.814526
point 308				-88.092805	41.820489	223.408711
point 309				-88.092805	41.820493	223.003644
point 310				-88.092830	41.820492	222.840620
point 311				-88.092831	41.820511	223.148939
point 312				-88.092805	41.820512	222.932253
point 313				-88.092804	41.820516	223.016005
point 314				-88.092830	41.820515	222.881560
point 315				-88.092831	41.820535	222.927602
point 316				-88.092805	41.820536	223.186907
point 317				-88.092805	41.820540	222.934689
point 318				-88.092833	41.820539	222.931843
point 319				-88.092831	41.820557	224.213401
point 320				-88.092807	41.820560	222.994052
point 321				-88.092808	41.820563	223.033032
point 322				-88.092834	41.820562	222.915815
point 323				-88.092835	41.820580	222.954279
point 324				-88.092809	41.820581	222.960671
point 325				-88.092808	41.820586	223.052426
point 326				-88.092835	41.820585	222.959516
point 327				-88.092834	41.820604	222.939891
point 328				-88.092806	41.820604	222.969540
point 329				-88.092807	41.820610	222.966798
point 330				-88.092832	41.820610	222.870349
point 331				-88.092833	41.820626	222.880311
point 332				-88.092809	41.820626	222.939708
point 333				-88.092807	41.820632	222.965431
point 334				-88.092834	41.820632	222.891600
point 335				-88.092835	41.820650	222.886369
point 336				-88.092809	41.820651	222.937051
point 337				-88.092810	41.820655	222.880579
point 338				-88.092838	41.820653	222.869426
point 339				-88.092840	41.820673	222.805247
point 340				-88.092812	41.820674	222.881934
point 341				-88.092812	41.820678	222.876050
point 342				-88.092839	41.820677	222.851152
point 343				-88.092841	41.820695	222.865127
point 344				-88.092813	41.820696	222.925393
point 345				-88.092814	41.820700	222.955712
point 346				-88.092840	41.820699	222.878871
point 347				-88.092842	41.820719	222.965893
point 348				-88.092816	41.820720	223.082464
point 349				-88.092816	41.820725	223.182057
point 350				-88.092843	41.820723	223.138826
point 351				-88.092845	41.820743	223.007280
point 352				-88.092819	41.820742	223.722226
point 353				-88.092820	41.820748	223.644896
point 354				-88.092847	41.820748	223.009960
point 355				-88.092847	41.820764	223.003258
point 356				-88.092821	41.820765	223.082338
point 357				-88.092821	41.820768	223.084322
point 358				-88.092847	41.820767	223.003485
point 359				-88.092848	41.820787	223.156085
point 360				-88.092828	41.820788	223.143286
point 361				-88.092771	41.820381	223.341647
point 362				-88.092798	41.820379	223.028262
point 363				-88.092798	41.820397	222.900623
point 364				-88.092772	41.820397	223.625634
point 365				-88.092772	41.820400	223.334778
point 366				-88.092797	41.820399	222.861015
point 367				-88.092799	41.820421	222.968287
point 368				-88.092773	41.820419	223.722080
point 369				-88.092772	41.820426	223.406474
point 370				-88.092798	41.820425	222.934058
point 371				-88.092799	41.820444	222.996386
point 372				-88.092772	41.820445	223.049769
point 373				-88.092772	41.820449	222.920563
point 374				-88.092799	41.820448	222.860755
point 375				-88.092800	41.820467	222.849138
point 376				-88.092773	41.820468	222.938852
point 377				-88.092772	41.820471	222.927047
point 378				-88.092800	41.820471	222.863390
point 379				-88.092802	41.820490	223.077991
point 380				-88.092773	41.820489	224.047119
point 381				-88.092772	41.820492	223.419790
point 382				-88.092800	41.820493	222.902492
point 383				-88.092799	41.820512	222.892885
point 384				-88.092773	41.820511	223.932713
point 385				-88.092772	41.820517	223.634771
point 386				-88.092800	41.820516	223.035364
point 387				-88.092800	41.820536	223.164760
point 388				-88.092773	41.820538	223.138008
point 389				-88.092774	41.820541	223.049302
point 390				-88.092803	41.820540	222.951604
point 391				-88.092803	41.820560	223.103248
point 392				-88.092775	41.820560	223.077787
point 393				-88.092775	41.820564	223.312158
point 394				-88.092803	41.820563	223.387726
point 395				-88.092805	41.820584	223.033163
point 396				-88.092776	41.820585	223.048122
point 397				-88.092777	41.820588	223.068279
point 398				-88.092804	41.820587	223.037328
point 399				-88.092803	41.820604	222.999754
point 400				-88.092779	41.820605	223.017722
point 401				-88.092778	41.820610	223.043653
point 402				-88.092803	41.820609	222.988200
point 403				-88.092805	41.820627	222.961398
point 404				-88.092779	41.820628	223.111807
point 405				-88.092779	41.820632	223.067760
point 406				-88.092805	41.820632	222.974212
point 407				-88.092806	41.820651	223.003978
point 408				-88.092780	41.820653	223.018901
point 409				-88.092781	41.820658	222.938148
point 410				-88.092806	41.820657	222.876443
point 411				-88.092808	41.820674	222.865598
point 412				-88.092782	41.820675	222.909116
point 413				-88.092781	41.820679	222.982712
point 414				-88.092808	41.820678	222.893933
point 415				-88.092809	41.820696	222.983668
point 416				-88.092782	41.820697	222.936313
point 417				-88.092783	41.820701	222.945252
point 418				-88.092810	41.820700	222.981283
point 419				-88.092811	41.820720	223.101373
point 420				-88.092785	41.820721	223.056683
