acceptedName_TNRS	acceptedSpecies_TNRS	treeName	acronym	acronym.v2	synonyms	commonName	origName_MOR	MOR_canidList	origName_PMN	PMN_canidList	origName_match	Annot	AnnotBy	AnnotDate	Family	primarySource	secondarySource	seedMass	LDMC	SLA	LNC	LCC	LPC	SDMC	circularity	flowerHeight	vegetativeHeight	leafLength	leafThickness	leafWidth	petioleLength	lifeCycle	lifeCycleCoded	Lifeform	dispersalMode	pollinationMode	bloomSeason	floweringStart	floweringStartcoded	floweringEnd	floweringPeriod	photosyntheticPathway	flowerColor	flowerStructure	fruit	inflorescence	rootTypes	adventitious	primary	bulbs	corms	fibrous	rhizomes	stolons	tubers	sex	commonness	habit	habitClean	woody	nFixer	wis_IL	wis_MN	WI_Good2C_Min	WI_Good2C_Max	WI_Mean2C	Kew_Jan2014_2C	Kew_Jun2015_2C	genome_Use	atFermi	atSchulenberg	Adapt_CoarseSoils	Adapt_FineSoils	Adapt_MediumSoils	FireResistant	FireTolerance	FloweringSeason	FruitSeed_Begin	FruitSeed_End	FruitSeed_Persistence	GerminationEfficiency	GrowthForm	LeafArea	LeafDryMass_CompoundLft	LeafPhenology	LeafRetention	LeafType	FunctType_Biome_BGC1	FunctType_Biome_BGC2	FunctType_LPJ_DGVM1	FunctType_LPJ_DGVM2	FunctType_Sheffield_DGVM1	FunctType_Sheffield_DGVM2	FunctType_Sheffield_DGVM3	Lifespan	marlinV12	PIZZO_Code	pizzo.seed	pizzo.plug
Agalinis aspera				0	Gerardia aspera	Rough False Foxglove		Include				"0, new, per WI Atlas and PMN"	MCG	9/22/2015	Scrophulariaceae			0.32														A	1				Autumnal	August	8	September	2	C3	red	complete;irregular	capsule	raceme	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	uncommon	F	F	H	0	FACU										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Agalinis purpurea	Agalinis purpurea	Agalinis purpurea		0		Purple False Foxglove			Agalinis purpurea			wetland specialist	"MG, MCG"	6/16/2015	Scrophulariaceae			0.07														A										C3	violet	complete;irregular	capsule	raceme	adventitious;fibrous	Y				Y				perfect	occasional	F	F	H	0	FACW	FACW							Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Agalinis tenuifolia	Agalinis tenuifolia	Agalinis tenuifolia	agaten	agaten	Gerardia tenuifolia	Slender-Leaf False Foxglove		Include	Agalinis tenuifolia	Include		"0, FACW,  prefers poor soils, but found in many habitats IL wildf, listed as prairie sp in ILPIN"	MCG	11/18/2015	Scrophulariaceae	TRY		0.048														A	1				Autumnal	August	8	October	3	C3	red	complete;irregular	capsule	raceme	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	occasional	F	F	H	0	FACW	FACW							Y	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Agastache foeniculum	Agastache foeniculum	Agastache foeniculum	agafoe	agafoe	Agastache anethiodora	Blue Giant-Hyssop			Agastache foeniculum	Include		non native to IL	"MG, MCG"	6/16/2015	Lamiaceae	UW		0.2891	375.6	145.3	1.59	46.31		441.8	0.4	98.66	92.44	4.9	0.29	2.69	7.94	P		hemicryptophytes		Biotic Unspecialized	Aestival	July		September	3	C3	blue	complete;irregular	nut	spike	primary		Y							perfect	rare	F	F	H	0			1	1.1	1.1			1.1	N																												#N/A	#N/A
Agastache nepetoides	Agastache nepetoides	Agastache nepetoides	aganep	aganep		Yellow Giant-Hyssop	Agastache nepetoides	Include	Agastache nepetoides	Include	1	"0,  per WI Atlas prefers woodland but found in OO and WM prairie"	MCG	9/24/2015	Lamiaceae	MOR			310.6					454.9		161.2	143.8		0.22		32.3	P	3				Aestival	July	7	September	3	C3	yellow	complete;irregular	nut	spike	primary;adventitious;rhizomes	1	1	0	0	0	1	0	0	perfect	occasional	F	F	H	0	FACU	FACU	1.6					1.6	Y	N																										Green	1	1
Agastache scrophulariifolia	Agastache scrophulariifolia	Agastache scrophulariifolia	agascr	agascr	Agastache scrophulariaefolia	Purple Giant Hyssop	Agastache scrophulariifolia	Include	Agastache scrophulariaefolia	Include	0	0			Lamiaceae	MOR			284.8					442.6		178.25	143.95		0.25		52.06	P	3				Aestival	July	7	September	3	C3	violet	complete;irregular	nut	spike	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL		1.2	1.7	1.5			1.5	Y	N																										Green	1	1
Agrostis hyemalis	Agrostis hyemalis	Agrostis hyemalis	agrhye	agrhye		Winter Bent		Include	Agrostis hyemalis	Include		0			Poaceae	TRY		0.055	349.5	133.2							62.96					P	3		Wind		Vernal	March	3	June	4	C3		complete	grain	panicle	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	common	G	G	H	0	FAC	FAC							Y	N	1	1	1	1	1	1	1	1	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	1	seq	Yellow	1	
Allium canadense	Allium canadense	Allium canadense	allcan	allcan		Meadow Garlic	Allium canadense	Include	Allium canadense	Include	1	0			Liliaceae	TRY		11.106														P	3				Vernal	May	5	July	3	C3	white;others	complete;regular	capsule	umbel	adventitious;bulbs	1	0	1	0	0	0	0	0	perfect	common	F	F	H	0	FACU	FACU							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	seq	Green	1	1
Allium canadense var. lavandulare	Allium canadense	Allium canadense		0		Meadow Garlic			Allium canadense var. lavendulare			"non native, color variant"	"MG, MCG"	6/16/2015	Liliaceae																	P											white;others	complete;regular	capsule	umbel	adventitious;bulbs	Y		Y						perfect	common				0	FACU	FACU							Y																										seq		#N/A	#N/A
Allium cernuum	Allium cernuum	Allium cernuum	allcer	allcer		Nodding Onion	Allium cernuum	Include	Allium cernuum	Include	1	"0, uncommon"	MCG	7/30/2015	Liliaceae	MOR		3.85	151.2	153.1				182.3	0.06	62.09	42.26	38.35	0.74	0.5		P	3				Aestival	July	7	September	3	C3	white;others	complete;regular	capsule	umbel	adventitious;bulbs	1	0	1	0	0	0	0	0	perfect	uncommon	F	F	H	0	FACU	FACU							Y		0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Allium stellatum	Allium stellatum	Allium stellatum		0			Allium stellatum		Allium stellatum		1	"north america, rocky gravel prairie specialist"	MCG	7/15/2015	Liliaceae			2.004														P										C3	red;others	complete;regular	capsule	umbel	adventitious;bulbs	Y		Y						perfect	rare	F	F		0	UPL	UPL	44	48.7	46.4	88.5		46.4	N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			#N/A	#N/A
Ambrosia artemisiifolia	Ambrosia artemisiifolia	Ambrosia artemisiifolia	ambart	ambart		Annual Ragweed	Ambrosia artemisiifolia					non native	"MG, MCG"	6/15/2015	Asteraceae	UW		2.7696	299.6	226.7	4.11	42.2		253.3	0.02	82.25	80.83	9.26	0.14	8.36	15.38	A		therophytes	Internal animal	Abiotic	Autumnal	August		September	2	C3	yellow;green	incomplete;not sepals	achene	raceme;spike;head	adventitious;fibrous	Y				Y				unisexual;monoecious	common	F		H	0	FACU	FACU	2.4			2.32		2.4	N		0	0	0	0	0	1	0	0	0	0	0	5	0	1	0	2	0	1	1	1	1	1	1	0	seq		#N/A	#N/A
Ambrosia trifida	Ambrosia trifida	Ambrosia trifida		0		Great Ragweed	Ambrosia trifida					non native	"MG, MCG"	6/15/2015	Asteraceae	UW		42.3981	419.9	169.1	2.88	41.65		342.7	0.19	166.95	151.83	13.18	0.22	11.76	26.88	A		therophytes	Unassisted	Abiotic	Autumnal	August		September	2	C3	yellow;green	incomplete;not sepals	achene			Y								unisexual;monoecious					0	FAC	FAC	3.8	3.8	3.8	3.82		3.8	Y		0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	1	0	0	1	1	1	1	1	0	seq		#N/A	#N/A
Amorpha canescens	Amorpha canescens	Amorpha canescens	amocan	amocan		Lead Plant	Amorpha canescens	Include		Include		"0, N fix"	MG. MCG	6/15/2015	Fabaceae	UW		1.197	65.7	15.3	2.26	47.67	0.15	69.4	0.09	65.53	58.38	7.69	0.26	2.65	0.63	P	3	geophytes	Animal	Biotic Unspecialized	Aestival	June	6	July	2	C3	blue	complete;irregular	legume	raceme	primary	0	1	0	0	0	0	0	0	perfect	common	S/SS	SS	W	1	UPL	UPL	1.7					1.7	Y		1	1	1	1	1	1	1	1	1	0	1	23	23	7	1	5	0	2	2	2	2	2	2	1	seq	Green	1	1
Amorpha fruticosa	Amorpha fruticosa	Amorpha fruticosa		0		False Indigo-Bush	Amorpha fruticosa					"wetland specialist, large shrub, N fix"	MG. MCG	6/15/2015	Fabaceae			8.1519		94.7							436.65					P		phanerophytes	Animal	Biotic Unspecialized						C3	blue	complete;irregular	legume	raceme	primary		Y							perfect	occasional				1	FACW	FACW							Y		1	1	1	1	1	2	1	1	1	0	1	0	0	3	1	2	0	0	0	0	0	0	0	1			#N/A	#N/A
Amphicarpaea bracteata				0		Hog-Peanut		Include				"0, new, N fix, per WI Atlas found in W to D prairies"	MCG	9/22/2015	Fabaceae	UW		23.9824	225	905	3.37	46.52	0.27	227	0.75	57.5	47.67	7.96	0.1	7.56	64.18	AP	2		Launching	Biotic Unspecialized	Autumnal	August	8	September	2	C3	violet;white	complete;irregular	legume	raceme	primary	0	1	0	0	0	0	0	0	perfect	occasional	V	V	H	1	FAC										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Red		
Amsonia illustris	Amsonia illustris	Amsonia illustris		0			Amsonia illustris		Amsonia illustris		1	non native			Apocynaceae																																	Y													0									N																												#N/A	#N/A
Anaphalis margaritacea	Anaphalis margaritacea	Anaphalis margaritacea		0		Pearly-Everlasting		Include	Anaphalis margaritacea	Include		"0, north america"	MCG	9/22/2015	Asteraceae	UW		0.94	34	151.4	1.78	43.86				63.1	58.2					P	3					July	7	September	3	C3						1	0	0	0	0	0	0	0			F	F	H	0	FACU	FACU							N																											Yellow	1	
Andropogon gerardii	Andropogon gerardii	Andropogon gerardii	andger	andger		Big Bluestem	Andropogon gerardi	Include		Include		0			Poaceae	UW		0.5338	453.7	142.7	1.44	42.95		450.1	0.05	181.64	159.44	30.42	0.33	0.74		P	3	geophytes	Unassisted	Abiotic	Autumnal	August	8	October	3	C4		complete;incomplete	grain	raceme;spike	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect;unisexual;monoecious	common	G	G	H	0	FAC	FACU	5.4	6.4	5.9	"7.00, 8.65, 10.05, 10.35"		5.9	Y		1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	seq	Green	1	1
Anemone canadensis	Anemone canadensis	Anemone canadensis	anecan	anecan		Round-Leaf Thimbleweed	Anemone canadensis	Include	Anemone canadensis	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Ranunculaceae	UW		1.844	343.9	158.7	1.68	42.82	0.31	29.8	0.1	52.83	49.54	7.63	0.33	8.97	60.75	P	3	geophytes	Wind	Biotic Unspecialized	Vernal	May	5	August	4	C3	white	incomplete;no petals	achene	solitary	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	occasional	F	F	H	0	FACW	FACW	10.3	14.3	12.3			12.3	Y		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	seq	Green	1	1
Anemone cylindrica	Anemone cylindrica	Anemone cylindrica	anecyl	anecyl		Thimbleweed	Anemone cylindrica	Include	Anemone cylindrica	Include	1	0			Ranunculaceae	UW		0.6268	434.2	124.6	1.52	44.09		433	0.06	49.71	34.37	4	0.32	6.6	73.58	P	3	hemicryptophytes	Wind	Biotic Unspecialized	Aestival	June	6	August	3	C3	white	incomplete;no petals	achene	solitary	primary	0	1	0	0	0	0	0	0	perfect		F	F	H	0	UPL	UPL	21.4			18.6		21.4	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	2	2	2	2	2	0	** SPLICE **	Green	1	1
Anemone patens var. multifida	Anemone patens	Anemone patens	anepat	anepat	Pulsatilla patens	Pasque Flower			Anemone patens var. wolfgangiana	Include		"gravel specialist per ILPIN, IL wildflower"	MCG	9/23/2015	Ranunculaceae	UW		1.61	314.3	135.1	1.88	43.95		341.5	0.01	30.15	21.58	7.74	0.37	10.72	123.21	P		hemicryptophytes	Wind	Biotic Unspecialized	Vernal	March		May	3	C3	blue;white	incomplete;not petals;regular	achene	solitary; few	primary		Y							perfect		F	F	H	0	UPL	UPL	7.8	13	10.4			10.4	N																												#N/A	#N/A
Anemone quinquefolia				0		Wood Anemone		Include				"0, new, per WI Atlas found in W to M prairies, listed as prairie sp in ILPIN"	MCG	11/18/2015	Ranunculaceae	UW		1.788	215	334	2.36	43.75	0.23	207	0.31	11.68	9.43	4.38	0.22	5.18	27.32	P	3	geophytes	Ant	Biotic Unspecialized	Vernal	April	4	June	3	C3	white;pink	incomplete;no petals	achene	solitary;few	adventitious;rhizomes	1	0	0	0	0	1	0	0			F	F	H	0	FAC										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Yellow	1	
Anemone virginiana	Anemone virginiana	Anemone virginiana	anevir	anevir		Tall Thimbleweed	Anemone virginiana	Include	Anemone virginiana	Include	1	0	"MG, MCG"	6/16/2015	Ranunculaceae	MOR		1.13	334.8					424.9		93.44	66.34		0.23		123.44	P	3				Vernal	May	5	August	4	C3	white	incomplete;no petals	achene	solitary	primary	0	1	0	0	0	0	0	0	perfect	common	F	F	H	0	FACU	FACU	20.7	32.4	26.6	17.85		26.6	Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Green	1	1
Angelica atropurpurea	Angelica atropurpurea	Angelica atropurpurea		0		Purple-Stem Angelica	Angelica atropurpurea		Angelica atropurpurea		1	wetland specialist	ah	5/19/2015	Apiaceae			4.14														P										C3	white	complete;incomplete;not sepals	schizocarp	umbel	primary		Y							perfect	occasional				0	OBL	OBL							Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **		#N/A	#N/A
Antennaria neglecta	Antennaria neglecta	Antennaria neglecta	antneg	antneg		Field Pussytoes	Antennaria neglecta	Include	Antennaria neglecta	Include	1	0			Asteraceae	TRY		0.0806		177.1	1.49		0.19				35.24					P	3			Abiotic	Vernal	April	4	May	2	C3		regular	achene	head	adventitious;stolons	1	0	0	0	0	0	1	0	unisexual;dioecious	common	F	F	H	0	UPL	UPL							N	Y	1	1	1	1	1	1	1	1	1	0	1	3	3	0	1	0	0	0	0	0	0	0	0	1	seq	Green	1	1
Antennaria plantaginifolia	Antennaria plantaginifolia	Antennaria plantaginifolia	antpla	antpla		Pussytoes		Include	Antennaria plantaginifolia	Include		"0, listed as prairie sp in ILPIN"	MCG	11/18/2015	Asteraceae	TRY		0.0738	207.4	235.4												P	3			Abiotic	Vernal	April	4	May	2	C3		regular	achene	head	adventitious;stolons	1	0	0	0	0	0	1	0	unisexual;dioecious	common	F	F	H	0	UPL	UPL							Y	Y	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	seq	Orange	1	
Apios americana				0		Groundnut		Include				"0, new, N fix, prairie vine, listed as prairie sp in ILPIN"	MCG	11/18/2015	Fabaceae												30.48					P	3				Aestival	July	7	September	3	C3	violet	complete;irregular	legume	raceme	primary;adventitious;rhizomes;tubers	1	1	0	0	0	1	0	1	perfect	common	V	V	H	1	FACW										1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq	Green	1	1
Apocynum androsaemifolium	Apocynum androsaemifolium	Apocynum androsaemifolium		0		Spreading Dogbane	Apocynum androsaemifolium					woodland species	"MG, MCG"	6/16/2015	Apocynaceae	UW		0.258	327	293	2.24	47.72	0.29	279	0.65		71.67	7.32	0.14	3.25	4.25	P		hemicryptophytes	Wind	Biotic Unspecialized	Vernal	May		August	4	C3	red	complete;regular	follicle	dichasium	primary		Y							perfect	occasional				0	UPL	UPL	0.5					0.5	Y		0	0	0	0	0	0	0	0	0	4	0	6	6	1	0	0	0	0	0	0	0	0	0	0			#N/A	#N/A
Apocynum cannabinum	Apocynum cannabinum	Apocynum cannabinum	apocan	apocan		Indian-Hemp	Apocynum cannabinum	Include	Apocynum cannabinum	Include	1	0			Apocynaceae	MOR		0.979	296.7	156.8				250.3	0.5	124.75	129.98	7.92	0.42	2.81	4.3	P	3		Wind		Vernal	May	5	August	4	C3	white	complete;regular	follicle	dichasium	primary	0	1	0	0	0	0	0	0	perfect		F	F	H	0	FAC	FAC	0.6					0.6	Y	Y	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq	Yellow	1	
Apocynum sibiricum	Apocynum sibiricum	Apocynum sibiricum	aposib	aposib		Prairie Dogbane	Apocynum sibiricum	Include		Include		"0, listed as prairie sp in ILPIN"	MCG	11/18/2015	Apocynaceae	TRY		1.2									90					P	3				Aestival	June	6	August	3	C3	white	complete;regular	follicle	dichasium	primary	0	1	0	0	0	0	0	0	perfect	common	F	F	H	0	FAC	FAC							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Red		
Aquilegia canadensis	Aquilegia canadensis	Aquilegia canadensis		0		Red Columbine			Aquilegia canadensis			woodland species	"MG, MCG"	6/16/2015	Ranunculaceae	UW		0.6029	239.6	340.9	3.07	42.92		224.8	0.08	79.1	65.12	7.43	0.18	11.29	37.46	P		hemicryptophytes	Launching	Biotic Specialized	Vernal	May		July	3	C3	red;yellow	complete;regular	follicle	solitary	adventitious;fibrous;rhizomes	Y				Y	Y			perfect	occasional				0	FACU	FACU	0.9					0.9	Y																												#N/A	#N/A
Argemone polyanthemos	Argemone polyanthemos	Argemone polyanthemos	argpol	argpol	"Argemone intermedia, Argemone albiflora"	Crested Pricklypoppy			Argemone polyanthemos			"north america, sand specialist"	MCG	9/23/2015	Papaveraceae																																	Y													0									N	N																											#N/A	#N/A
Arnoglossum atriplicifolium	Arnoglossum atriplicifolium	Arnoglossum atriplicifolium	arnatr	arnatr	Cacalia atriplicifolia	Pale Indian Plantain	Cacalia atriplicifolia	Include	Cacalia atriplicifolia	Include	1	"0, listed as prairie sp in ILPIN"	MCG	11/18/2015	Asteraceae	UW		3.5556	215.5	185.7	2.07	45.23		299	0.33	193.84	169.58	9.31	0.29	10.67	54.99	P	3	hemicryptophytes	Wind	Biotic Unspecialized	Aestival	July	7	September	3	C3	white;others	complete;regular	achene	head	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	occasional	F	F	H	0	UPL	UPL	5.6	5.8	5.7			5.7	N																										genus	Orange	1	
Arnoglossum plantagineum	Arnoglossum plantagineum	Arnoglossum plantagineum	arnpla	arnpla	Cacalia plantaginea	Groove-Stem Indian-Plantain	Cacalia plantaginea	Include	Cacalia plantaginea	Include	1	"0, uncommon"	MCG	7/30/2015	Asteraceae	TRY		4.2														P	3				Aestival	July	7	September	3	C3	white;others	complete;regular	achene	head	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	uncommon	F	F	H	0	FAC	FAC							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Arnoglossum reniforme	Arnoglossum reniforme	Arnoglossum reniforme	arnren	arnren	Cacalia muehlenbergii	Great Indian Plantain			Cacalia muehlenbergii	Include		woodland species	"MCG, MB"	9/24/2015	Asteraceae																	P					Aestival	July		September	3		white;others	complete;regular	achene	head	adventitious;fibrous	Y				Y				perfect	uncommon	F	F	H	0	UPL								N	N																											#N/A	#N/A
Artemisia ludoviciana	Artemisia ludoviciana	Artemisia ludoviciana		0		White Sagebrush			Artemisia ludoviciana			"N fix, Aggressively rhizomatous"	"MG, MCG"	6/15/2015	Asteraceae			0.1307		185.3	1.92						91.44					P										C3		incomplete;regular	achene	head	adventitious;rhizomes	Y					Y			perfect;unisexual;monoecious	occasional	F	F		1	UPL	UPL	14.7					14.7	N		1	1	1	1	1	1	1	1	1	2	1	11	11	0	1	1	0	1	1	1	1	1	1	1			#N/A	#N/A
Artemisia serrata				0		Saw-Toothed Sagebrush		Include				"0, new"	MCG	9/22/2015	Asteraceae																	P	3			Abiotic		August	8	September	2	C3		complete;incomplete;regular;irregular	achene	head	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect;unisexual;monoecious	occasional	F	F	H	0	UPL																																		genus	Red		
Asclepias hirtella	Asclepias hirtella	Asclepias hirtella	aschir	aschir		Tall Green Milkweed	Asclepias hirtella	Include	Asclepias hirtella	Include	1	0			Asclepiadaceae	TRY		7.59														P	3		Wind	Biotic Unspecialized	Vernal	May	5	August	4	C3	green;white	complete;regular	follicle	umbel	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL	UPL							N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Green	1	1
Asclepias incarnata	Asclepias incarnata	Asclepias incarnata	ascinc	ascinc		Swamp Milkweed	Asclepias incarnata		Asclepias incarnata		1	wetland specialist	"MG, MCG"	6/15/2015	Asclepiadaceae			3.0413	177.5	224.7	1.75		0.23				149.35					P										C3	red;violet	complete;regular	follicle	umbel	primary		Y							perfect	common	F	F	H	0	OBL	OBL	0.7	0.7	0.7			0.7	Y		1	1	1	1	1	1	1	1	1	1	1	4	0	0	1	1	0	0	0	0	0	0	0	1	seq		#N/A	#N/A
Asclepias purpurascens				0		Purple Milkweed						woodland species		9/22/2015	Asclepiadaceae																																	Y														FACU																																		** SPLICE **		#N/A	#N/A
Asclepias speciosa	Asclepias speciosa	Asclepias speciosa		0		Showy Milkweed			Asclepias speciosa			"north america, rare"	MCG	7/15/2015	Asclepiadaceae			7.0168									182.88					P										C3	violet	complete;regular	follicle	umbel		Y								perfect	rare	F	F		0	FAC	FAC							N		1	1	1	1	1	1	1	1	1	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1			#N/A	#N/A
Asclepias sullivantii	Asclepias sullivantii	Asclepias sullivantii	ascsul	ascsul		Prairie Milkweed	Asclepias sullivantii	Include	Asclepias sullivantii	Include	1	0			Asclepiadaceae	TRY		4.7														P	3		Wind	Biotic Unspecialized	Aestival	June	6	July	2	C3	red;violet	complete;regular	follicle	umbel	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	occasional	F	F	H	0	UPL	UPL							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Green	1	1
Asclepias syriaca	Asclepias syriaca	Asclepias syriaca	ascsyr	ascsyr		Common Milkweed	Asclepias syriaca	Include	Asclepias syriaca	Include	1	0			Asclepiadaceae	UW		2.1755	242.2	14.7	2.14	44.33	0.34	239.9	0.67	116.54	128.14	14.92	0.41	7.07	8.73	P	3	hemicryptophytes	Wind	Biotic Unspecialized	Aestival	June	6	August	3	C3	green;violet	complete;regular	follicle	umbel	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect		F	F	H	0	FACU	UPL	0.9			0.84		0.9	Y		0	0	0	0	0	1	0	0	0	2	0	63	6	0	0	2	0	2	2	2	2	2	2	0	seq	Green	1	1
Asclepias tuberosa	Asclepias tuberosa	Asclepias tuberosa	asctub	asctub		Butterfly Weed		Include	Asclepias tuberosa	Include		0			Asclepiadaceae	UW		4.8227	279.7	169.7	2.14	44.63		278.9	0.32	61.41	60.6	8.13	0.3	1.34	1.92	P	3	hemicryptophytes	Wind	Biotic Unspecialized	Aestival	July	7	September	3	C3	red;orange;yellow	complete;regular	follicle	umbel	primary	0	1	0	0	0	0	0	0	perfect	common	F	F	H	0	UPL	UPL	1.1					1.1	Y		1	1	1	1	1	1	1	1	1	0	1	3	3	0	1	2	0	1	1	1	1	1	1	1	seq	Green	1	1
Asclepias verticillata	Asclepias verticillata	Asclepias verticillata	ascver	ascver		Whorled Milkweed	Asclepias verticillata	Include	Asclepias verticillata	Include	1	0			Asclepiadaceae	UW		1.898	32	111.2	1.89	43.25	0.14	375.7	0.08	45.99	45.2	4.32	0.44	0.14		P	3	hemicryptophytes	Wind	Biotic Unspecialized	Aestival	July	7	September	3	C3	green;white	complete;regular	follicle	umbel	adventitious;fibrous;rhizomes	1	0	0	0	1	1	0	0	perfect	occasional	F	F	H	0	FACU	UPL	0.7					0.7	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	** SPLICE **	Green	1	1
Asclepias viridiflora	Asclepias viridiflora	Asclepias viridiflora	ascvir	ascvir		Green Milkweed	Asclepias viridiflora	Include		Include		0			Asclepiadaceae	TRY		4.6														P	3		Wind	Biotic Unspecialized	Vernal	May	5	August	4	C3	green	complete;regular	follicle	umbel	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL	UPL							N	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	** SPLICE **	Red		
Asclepias viridis	Asclepias viridis	Asclepias viridis	ascvir	ascvir	Asclepiodora viridis	Green-Flowered Milkweed		Include	Asclepias viridis			"0, non native to MN"	MG	6/17/2015	Asclepiadaceae	TRY		6.62														P	3		Wind	Biotic Unspecialized	Vernal	May	5	July	3	C3	green;violet	complete;regular	follicle	umbel	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL	UPL							N	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	genus	Green	1	1
Astragalus bisulcatus	Astragalus bisulcatus	Astragalus bisulcatus		0					Astragalus bisulcatus			non native	"MG, MCG"	6/16/2015	Fabaceae																																	Y													0									N																												#N/A	#N/A
Astragalus canadensis	Astragalus canadensis	Astragalus canadensis	astcan	astcan		Canadian Milk-Vetch	Astragalus canadense	Include	Astragalus canadensis	Include	0	"0, N fix, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Fabaceae	UW		1.2464	292.9	163.9	3.21	43.12		415.3	0.03	82.12	81.78	7.53	0.24	3.01	13.08	P	3	hemicryptophytes	Unassisted	Biotic Unspecialized	Aestival	July	7	August	2	C3	white	complete;irregular	legume	raceme	primary;adventitious;rhizomes	1	1	0	0	0	1	0	0	perfect	occasional	F	F	H	1	FAC	FAC	1.9					1.9	N																											Green	1	1
Astragalus crassicarpus	Astragalus crassicarpus	Astragalus crassicarpus		0		Groundplum Milkvetch		Include	Astragalus crassicarpus			"0, N fix, rare"	MCG	7/16/2015	Fabaceae																	P	3				Vernal	April	4	May	2	C3	white	complete;regular	legume	raceme	primary	0	1	0	0	0	0	0	0	perfect	rare	F	F	H	1	UPL	UPL							N																											Red		
Astragalus neglectus	Astragalus neglectus	Astragalus neglectus		0		Cooper's Milk-Vetch		Include	Astragalus neglectus			"0, N fix, rare"	MCG	7/16/2015	Fabaceae																	P	3				Aestival	June	6	July	2	C3	white		legume	raceme		0	0	0	0	0	0	0	0		rare	F	F	H	1	FACU	FACU							N																											Yellow	1	
Astragalus racemosus	Astragalus racemosus	Astragalus racemosus	astrac	astrac		Cream Milkvetch			Astragalus racemosus	Include		non native to IL	"MG, MCG"	6/16/2015	Fabaceae																																	Y										F	F	H	0									N																												#N/A	#N/A
