acceptedName_TNRS	acceptedSpecies_TNRS	treeName	acronym	acronym.v2	synonyms	commonName	origName_MOR	MOR_canidList	origName_PMN	PMN_canidList	origName_match	Annot	AnnotBy	AnnotDate	Family	primarySource	secondarySource	seedMass	LDMC	SLA	LNC	LCC	LPC	SDMC	circularity	flowerHeight	vegetativeHeight	leafLength	leafThickness	leafWidth	petioleLength	lifeCycle	lifeCycleCoded	Lifeform	dispersalMode	pollinationMode	bloomSeason	floweringStart	floweringStartcoded	floweringEnd	floweringPeriod	photosyntheticPathway	flowerColor	flowerStructure	fruit	inflorescence	rootTypes	adventitious	primary	bulbs	corms	fibrous	rhizomes	stolons	tubers	sex	commonness	habit	habitClean	woody	nFixer	wis_IL	wis_MN	WI_Good2C_Min	WI_Good2C_Max	WI_Mean2C	Kew_Jan2014_2C	Kew_Jun2015_2C	genome_Use	atFermi	atSchulenberg	Adapt_CoarseSoils	Adapt_FineSoils	Adapt_MediumSoils	FireResistant	FireTolerance	FloweringSeason	FruitSeed_Begin	FruitSeed_End	FruitSeed_Persistence	GerminationEfficiency	GrowthForm	LeafArea	LeafDryMass_CompoundLft	LeafPhenology	LeafRetention	LeafType	FunctType_Biome_BGC1	FunctType_Biome_BGC2	FunctType_LPJ_DGVM1	FunctType_LPJ_DGVM2	FunctType_Sheffield_DGVM1	FunctType_Sheffield_DGVM2	FunctType_Sheffield_DGVM3	Lifespan	marlinV12	PIZZO_Code	pizzo.seed	pizzo.plug
Elymus virginicus	Elymus virginicus	Elymus virginicus		0		Virginia Wild Rye			Elymus virginicus			wetland specialist	"MG, MCG"	6/16/2015	Poaceae	UW		2.5474	378	257	3.06	43.08		369	0.09	90.92	82.25	21.27	0.16	0.97	0	P		hemicryptophytes	Unassisted	Abiotic	Aestival	July		August	2	C3		complete	grain	panicle;spike	adventitious;fibrous	Y				Y				perfect					0	FACW	FACW	17.8					17.8	Y		1	1	1	1	1	1	1	1	1	2	1	0	0	2	1	1	0	0	0	0	0	0	0	1			#N/A	#N/A
Epilobium angustifolium	Epilobium angustifolium	Epilobium angustifolium		0	Chamerion angustifolium				Epilobium angustifolium			wetland specialist	"MG, MCG"	6/16/2015	Onagraceae			0.1565	340.1	206	2.51		0.28				108.57							geophytes;hemicryptophytes	Wind	Biotic Unspecialized						C3						Y													0									N		0	0	0	0	0	1	0	0	0	3	0	35	25	0	0	1	0	3	3	3	3	3	3	0			#N/A	#N/A
Epilobium coloratum	Epilobium coloratum	Epilobium coloratum		0		Purple-Leaf Willowherb			Epilobium coloratum			wetland specialist	MG	6/16/2015	Onagraceae			0.1037									100.58					P										C3	red;white	complete;regular	capsule	panicle	adventitious;fibrous;rhizomes	Y				Y	Y			perfect	occasional	F	F		0	OBL	OBL							Y		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq		#N/A	#N/A
Epilobium glandulosum	Epilobium glandulosum	Epilobium glandulosum		0	Epilobium ciliatum				Epilobium glandulosum			wetland specialist	"MG, MCG"	6/16/2015	Onagraceae			0.084	585	248.6																						C3						Y										F	F	H	0									N		0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	1	1	1	1	0			#N/A	#N/A
Equisetum arvense				0		Horsetail		Include				"0, new, per WI Atlas & Swink"	MCG	9/23/2015	Equisetaceae	UW			218	165	1.82	37.37	0.24	205	0.02		29.67	13.23	0.54	0.15		P	3	geophytes	Bristle contraction	Abiotic	Vernal	March	3	May	3	C3			None	None	adventitious;fibrous;rhizomes	1	0	0	0	1	1	0	0	unisexual;dioecious	common	F	F	H	0	FAC										1	1	1	1	1	2	1	1	1	0	1	20	14	0	1	1	0	0	1	1	1	1	1	1	seq	Red		
Equisetum hyemale				0		Tall Scouring Rush						"very aggressive, FACW, found in moist to dry prairies per ILPIN"	MCG	9/28/2015	Equisetaceae				154.4	30.3							95					P		phanerophytes								C3			None	None	adventitious;fibrous;rhizomes	Y				Y	Y			unisexual;dioecious	common	F	F	H		FACW										0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	seq			
Equisetum laevigatum				0		Smooth Scouring Rush		Include				"0, new, FACW, per WI Atlas found in WM prairies"	MCG	9/23/2015	Equisetaceae												152.4					P	3				Vernal	May	5	June	2	C3			None	None	adventitious;fibrous;rhizomes	1	0	0	0	1	1	0	0	unisexual;dioecious	common	F	F	H	0	FACW										1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq	Red		
Eragrostis spectabilis	Eragrostis spectabilis	Eragrostis spectabilis	eraspe	eraspe		Purple Love Grass	Eragrostis spectabilis	Include	Eragrostis spectabilis	Include	1	0			Poaceae	MOR			461.1					369.4		35.68	14.65		0.1			P	3				Aestival	June	6	October	5	C4		complete	grain	panicle	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	common	G	G	H	0	UPL	UPL	2.3	2.3	2.3			2.3	N	N																									genus	Green	1	1
Eragrostis trichodes	Eragrostis trichodes	Eragrostis trichodes	eratri	eratri		Ice Cream Grass		Include	Eragrostis trichodes	Include		0			Poaceae																	P	3				Aestival	July	7	October	4	C4		complete	grain	panicle	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	occasional	G	G	H	0	UPL	UPL							N	N																									genus	Yellow	1	
Erigeron philadelphicus	Erigeron philadelphicus	Erigeron philadelphicus	eriphi	eriphi		Philadelphia Fleabane	Erigeron philadelphicus	Include		Include		0	MG	6/16/2015	Asteraceae	TRY		0.0535									85.34					BP	2.5		Wind		Vernal	May	5	June	2	C3	yellow;white;others	complete;incomplete;regular;irregular	achene	head	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect;unisexual;monoecious	common	F	F	H	0	FACW	FAC	1.8					1.8	Y	Y	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq	Red		
